Provincia;Nombre del Canton;Nombre de la Parroquia;Hombre;Mujer;Total
;; CRISTOBAL COLON;1.449;1.494;2.943
;; FERNANDEZ SALVADOR;663;619;1.282
;; LA PAZ;1.665;1.767;3.432
;; PIARTAL;586;554;1.140
;; SAN GABRIEL;10.234;10.862;21.096
;; Total;14.910;15.601;30.511
;SAN PEDRO DE HUACA            ; HUACA;3.163;3.078;6.241
;; MARISCAL SUCRE;684;699;1.383
;; Total;3.847;3.777;7.624
;TULCAN                        ; EL CARMELO (EL PUN);1.405;1.384;2.789
;; EL CHICAL;1.756;1.681;3.437
;; JULIO ANDRADE (OREJUELA);4.876;4.758;9.634
;; MALDONADO;893;810;1.703
;; PIOTER;367;351;718
;; SANTA MARTHA DE CUBA;1.196;1.170;2.366
;; TOBAR DONOSO (LA BOCANA);473;432;905
;; TUFIÑO;1.171;1.168;2.339
;; TULCAN;29.312;31.091;60.403
;; URBINA (TAYA);1.135;1.069;2.204
;; Total;42.584;43.914;86.498
;Total;;81.155;83.369;164.524
Cotopaxi;LA MANA                       ; GUASAGANDA;1.997;1.911;3.908
;; LA MANA;18.359;17.895;36.254
;; PUCAYACU;1.064;990;2.054
;; Total;21.420;20.796;42.216
;LATACUNGA                     ; 11 DE NOVIEMBRE (ILINCHI;944;1.044;1.988
;; ALAQUES (ALAQUEZ);2.625;2.856;5.481
;; BELISARIO QUEVEDO;2.991;3.368;6.359
;; GUAITACAMA (GUAYTACAMA);5.128;4.540;9.668
;; JOSEGUANGO BAJO;1.380;1.489;2.869
;; LATACUNGA;47.143;51.212;98.355
;; MULALO;3.870;4.225;8.095
;; POALO;2.732;2.977;5.709
;; SAN JUAN DE PASTOCALLE;5.494;5.955;11.449
;; TANICUCHI;6.256;6.575;12.831
;; TOACASO;3.738;3.947;7.685
;; Total;82.301;88.188;170.489
;PANGUA                        ; EL CORAZON;3.267;3.298;6.565
;; MORASPUNGO;6.553;5.823;12.376
;; PINLLOPATA;530;500;1.030
;; RAMON CAMPAÑA;990;1.004;1.994
;; Total;11.340;10.625;21.965
;PUJILI                        ; ANGAMARCA;2.480;2.769;5.249
;; GUANGAJE;3.809;4.217;8.026
;; LA VICTORIA;1.438;1.578;3.016
;; PILALO;1.272;1.368;2.640
;; PUJILI;15.732;17.698;33.430
;; TINGO;2.081;1.970;4.051
;; ZUMBAHUA;5.924;6.719;12.643
;; Total;32.736;36.319;69.055
;SALCEDO                       ; ANTONIO JOSE HOLGUIN;1.256;1.408;2.664
;; CUSUBAMBA;3.490;3.710;7.200
;; MULALILLO;2.982;3.397;6.379
;; MULLIQUINDIL (SANTA ANA);3.516;3.687;7.203
;; PANSALEO;1.586;1.869;3.455
;; SAN MIGUEL;15.050;16.265;31.315
;; Total;27.880;30.336;58.216
;SAQUISILI                     ; CANCHAGUA;2.614;2.841;5.455
;; CHANTILIN;453;582;1.035
;; COCHAPAMBA;2.557;2.869;5.426
;; SAQUISILI;6.333;7.071;13.404
;; Total;11.957;13.363;25.320
;SIGCHOS                       ; CHUGCHILAN;3.797;4.014;7.811
;; ISINLIVI;1.625;1.602;3.227
;; LAS PAMPAS;1.024;919;1.943
;; PALO QUEMADO;567;463;1.030
;; SIGCHOS;3.978;3.955;7.933
;; Total;10.991;10.953;21.944
;Total;;198.625;210.580;409.205
Chimborazo;ALAUSI                        ; ACHUPALLAS;5.004;5.525;10.529
;; ALAUSI;4.935;5.275;10.210
;; GUASUNTOS;1.101;1.312;2.413
;; HUIGRA;1.147;1.205;2.352
;; MULTITUD;1.058;1.026;2.084
;; PISTISHI (NARIZ DEL DIABLO);165;180;345
;; PUMALLACTA (PUMAL-LACTA);412;493;905
;; SEVILLA;370;433;803
;; SIBAMBE;1.898;1.971;3.869
;; TIXAN;5.098;5.481;10.579
;; Total;21.188;22.901;44.089
;CHAMBO                        ; CHAMBO;5.660;6.225;11.885
;; Total;5.660;6.225;11.885
;CHUNCHI                       ; CAPZOL;426;473;899
;; CHUNCHI;3.556;3.849;7.405
;; COMPUD;423;455;878
;; GONZOL;824;905;1.729
;; LLAGOS;833;942;1.775
;; Total;6.062;6.624;12.686
;COLTA                         ; CAÑI;486;476;962
;; COLUMBE;7.776;8.086;15.862
;; JUAN DE VELASCO (PANGOR);1.926;1.992;3.918
;; SANTIAGO DE QUITO;2.577;3.091;5.668
;; VILLA LA UNION;8.877;9.684;18.561
;; Total;21.642;23.329;44.971
;CUMANDA                       ; CUMANDA;6.343;6.579;12.922
;; Total;6.343;6.579;12.922
;GUAMOTE                       ; CEBADAS;4.019;4.199;8.218
;; GUAMOTE;12.098;12.540;24.638
;; PALMIRA;6.062;6.235;12.297
;; Total;22.179;22.974;45.153
;GUANO                         ; GUANANDO;183;158;341
;; GUANO;7.823;8.694;16.517
;; ILAPO;810;852;1.662
;; LA PROVIDENCIA;267;286;553
;; SAN ANDRES;6.477;7.004;13.481
;; SAN GERARDO DE PACAICAGUAN;1.106;1.333;2.439
;; SAN ISIDRO DE PATULU;2.301;2.443;4.744
;; SAN JOSE DEL CHAZO;495;542;1.037
;; SANTA FE DE GALAN;822;851;1.673
;; VALPARAISO;211;193;404
;; Total;20.495;22.356;42.851
;PALLATANGA                    ; PALLATANGA;5.718;5.826;11.544
;; Total;5.718;5.826;11.544
;PENIPE                        ; BILBAO;102;94;196
;; EL ALTAR;631;634;1.265
;; LA CANDELARIA;239;236;475
;; MATUS;471;520;991
;; PENIPE;1.000;1.089;2.089
;; PUELA;314;308;622
;; SAN ANTONIO DE BAYUSHIG;517;584;1.101
;; Total;3.274;3.465;6.739
;RIOBAMBA                      ; CACHA;1.410;1.750;3.160
;; CALPI;3.012;3.457;6.469
;; CUBIJIES;1.148;1.366;2.514
;; FLORES;2.074;2.472;4.546
;; LICAN;3.853;4.110;7.963
;; LICTO;3.498;4.309;7.807
;; PUNGALA;2.837;3.117;5.954
;; PUNIN;2.710;3.266;5.976
;; QUIMIAG;2.518;2.739;5.257
;; RIOBAMBA;74.634;82.089;156.723
;; SAN JUAN;3.442;3.928;7.370
;; SAN LUIS;5.704;6.298;12.002
;; Total;106.840;118.901;225.741
;Total;;219.401;239.180;458.581
El Oro;ARENILLAS                     ; ARENILLAS;11.057;10.269;21.326
;; CARCABON;391;345;736
;; CHACRAS;818;720;1.538
;; PALMALES;1.682;1.562;3.244
;; Total;13.948;12.896;26.844
;ATAHUALPA                     ; AYAPAMBA;721;666;1.387
;; CERRO AZUL;172;123;295
;; CORDONCILLO;511;492;1.003
;; MILAGRO;248;224;472
;; PACCHA;1.157;1.154;2.311
;; SAN JOSE;201;164;365
;; Total;3.010;2.823;5.833
;BALSAS                        ; BALSAS;2.926;2.704;5.630
;; BELLAMARIA;632;599;1.231
;; Total;3.558;3.303;6.861
;CHILLA                        ; CHILLA;1.274;1.210;2.484
;; Total;1.274;1.210;2.484
;EL GUABO                      ; BARBONES (SUCRE);3.054;2.653;5.707
;; EL GUABO;15.580;14.400;29.980
;; LA IBERIA;1.883;1.826;3.709
;; RIO BONITO;2.953;2.523;5.476
;; TENDALES;2.916;2.221;5.137
;; Total;26.386;23.623;50.009
;HUAQUILLAS                    ; HUAQUILLAS;24.120;24.165;48.285
;; Total;24.120;24.165;48.285
;LAS LAJAS                     ; EL PARAISO;399;362;761
;; LA LIBERTAD;421;381;802
;; LA VICTORIA;1.360;1.272;2.632
;; SAN ISIDRO;309;290;599
;; Total;2.489;2.305;4.794
;MACHALA                       ; EL RETIRO;2.381;1.985;4.366
;; MACHALA;120.643;120.963;241.606
;; Total;123.024;122.948;245.972
;MARCABELI                     ; EL INGENIO;145;107;252
;; MARCABELI;2.636;2.562;5.198
;; Total;2.781;2.669;5.450
;PASAJE                        ; BUENAVISTA;3.447;3.094;6.541
;; CAÑA QUEMADA;972;867;1.839
;; CASACAY;1.260;1.197;2.457
;; LA PEAÑA;1.825;1.776;3.601
;; PASAJE;26.743;26.742;53.485
;; PROGRESO;2.079;1.888;3.967
;; UZHCURRUMI;466;450;916
;; Total;36.792;36.014;72.806
;PIÑAS                         ; CAPIRO;980;890;1.870
;; LA BOCANA;728;637;1.365
;; MOROMORO;742;629;1.371
;; PIEDRAS;294;275;569
;; PIÑAS;8.572;8.829;17.401
;; SAN ROQUE;463;404;867
