"Provincia","Canton"," Parroquia","Hombre","Mujer","Total"
"Esmeraldas",""," SAN FRANCISCO","1523","1286","2809"
"Esmeraldas",""," SAN GREGORIO","3207","2708","5915"
"Esmeraldas",""," SAN JOSE DE CHAMANGA","2390","1864","4254"
"Esmeraldas",""," Total","15344","13130","28474"
"Esmeraldas","QUININDE                      "," CHURA (CHANCAMA)","2617","2116","4733"
"Esmeraldas",""," CUBE","4108","3482","7590"
"Esmeraldas",""," LA UNION","10314","9610","19924"
"Esmeraldas",""," MALIMPIA","9621","8151","17772"
"Esmeraldas",""," ROSA ZARATE (QUININDE)","34758","32501","67259"
"Esmeraldas",""," VICHE","2723","2569","5292"
"Esmeraldas",""," Total","64141","58429","122570"
"Esmeraldas","RIOVERDE                      "," CHONTADURO","1743","1479","3222"
"Esmeraldas",""," CHUMUNDE","1905","1607","3512"
"Esmeraldas",""," LAGARTO","3049","2625","5674"
"Esmeraldas",""," MONTALVO","2106","1903","4009"
"Esmeraldas",""," RIOVERDE","2564","2400","4964"
"Esmeraldas",""," ROCAFUERTE","2805","2683","5488"
"Esmeraldas",""," Total","14172","12697","26869"
"Esmeraldas","SAN LORENZO                   "," 5 DE JUNIO","219","197","416"
"Esmeraldas",""," ALTO TAMBO","1001","870","1871"
"Esmeraldas",""," ANCON (PICHANGAL)","901","913","1814"
"Esmeraldas",""," CALDERON","330","298","628"
"Esmeraldas",""," CARONDELET","898","832","1730"
"Esmeraldas",""," CONCEPCION","1244","1110","2354"
"Esmeraldas",""," MATAJE","786","689","1475"
"Esmeraldas",""," SAN JAVIER DE CACHAVI","343","321","664"
"Esmeraldas",""," SAN LORENZO","12462","12634","25096"
"Esmeraldas",""," SANTA RITA","837","802","1639"
"Esmeraldas",""," TAMBILLO","926","817","1743"
"Esmeraldas",""," TULULBI","1181","1114","2295"
"Esmeraldas",""," URBINA","424","337","761"
"Esmeraldas",""," Total","21552","20934","42486"
"Esmeraldas","Total","","271312","262780","534092"
"Guayas","ALFREDO BAQUERIZO MORENO      "," ALFREDO BAQUERIZO MORENO","13013","12166","25179"
"Guayas",""," Total","13013","12166","25179"
"Guayas","BALAO                         "," BALAO","10998","9525","20523"
"Guayas",""," Total","10998","9525","20523"
"Guayas","BALZAR                        "," BALZAR","28001","25936","53937"
"Guayas",""," Total","28001","25936","53937"
"Guayas","COLIMES                       "," COLIMES","9147","8160","17307"
"Guayas",""," SAN JACINTO","3276","2840","6116"
"Guayas",""," Total","12423","11000","23423"
"Guayas","CORONEL MARCELINO MARIDUEÑA   "," CORONEL MARCELINO MARIDUEÑA","6265","5768","12033"
"Guayas",""," Total","6265","5768","12033"
"Guayas","DAULE                         "," DAULE","43372","44136","87508"
