"Provincia","Nombre del Cantón","Nombre de la Parroquia","Hombre","Mujer","Total"
"",""," TOBAR DONOSO (LA BOCANA)","473","432","905"
"",""," TUFIÑO","1171","1168","2339"
"",""," TULCAN","29312","31091","60403"
"",""," URBINA (TAYA)","1135","1069","2204"
"",""," Total","42584","43914","86498"
"","Total","","81155","83369","164524"
"Cotopaxi","LA MANA                       "," GUASAGANDA","1997","1911","3908"
"",""," LA MANA","18359","17895","36254"
"",""," PUCAYACU","1064","990","2054"
"",""," Total","21420","20796","42216"
"","LATACUNGA                     "," 11 DE NOVIEMBRE (ILINCHI","944","1044","1988"
"",""," ALAQUES (ALAQUEZ)","2625","2856","5481"
"",""," BELISARIO QUEVEDO","2991","3368","6359"
"",""," GUAITACAMA (GUAYTACAMA)","5128","4540","9668"
"",""," JOSEGUANGO BAJO","1380","1489","2869"
"",""," LATACUNGA","47143","51212","98355"
"",""," MULALO","3870","4225","8095"
"",""," POALO","2732","2977","5709"
"",""," SAN JUAN DE PASTOCALLE","5494","5955","11449"
"",""," TANICUCHI","6256","6575","12831"
"",""," TOACASO","3738","3947","7685"
"",""," Total","82301","88188","170489"
"","PANGUA                        "," EL CORAZON","3267","3298","6565"
"",""," MORASPUNGO","6553","5823","12376"
"",""," PINLLOPATA","530","500","1030"
"",""," RAMON CAMPAÑA","990","1004","1994"
"",""," Total","11340","10625","21965"
"","PUJILI                        "," ANGAMARCA","2480","2769","5249"
"",""," GUANGAJE","3809","4217","8026"
"",""," LA VICTORIA","1438","1578","3016"
"",""," PILALO","1272","1368","2640"
"",""," PUJILI","15732","17698","33430"
"",""," TINGO","2081","1970","4051"
"",""," ZUMBAHUA","5924","6719","12643"
"",""," Total","32736","36319","69055"
"","SALCEDO                       "," ANTONIO JOSE HOLGUIN","1256","1408","2664"
"",""," CUSUBAMBA","3490","3710","7200"
"",""," MULALILLO","2982","3397","6379"
"",""," MULLIQUINDIL (SANTA ANA)","3516","3687","7203"
"",""," PANSALEO","1586","1869","3455"
"",""," SAN MIGUEL","15050","16265","31315"
"",""," Total","27880","30336","58216"
"","SAQUISILI                     "," CANCHAGUA","2614","2841","5455"
"",""," CHANTILIN","453","582","1035"
"",""," COCHAPAMBA","2557","2869","5426"
"",""," SAQUISILI","6333","7071","13404"
"",""," Total","11957","13363","25320"
"","SIGCHOS                       "," CHUGCHILAN","3797","4014","7811"
"",""," ISINLIVI","1625","1602","3227"
"",""," LAS PAMPAS","1024","919","1943"
"",""," PALO QUEMADO","567","463","1030"
"",""," SIGCHOS","3978","3955","7933"
"",""," Total","10991","10953","21944"
"","Total","","198625","210580","409205"
"Chimborazo","ALAUSI                        "," ACHUPALLAS","5004","5525","10529"
"",""," ALAUSI","4935","5275","10210"
"",""," GUASUNTOS","1101","1312","2413"
"",""," HUIGRA","1147","1205","2352"
"",""," MULTITUD","1058","1026","2084"
"",""," PISTISHI (NARIZ DEL DIABLO)","165","180","345"
"",""," PUMALLACTA (PUMAL-LACTA)","412","493","905"
"",""," SEVILLA","370","433","803"
"",""," SIBAMBE","1898","1971","3869"
"",""," TIXAN","5098","5481","10579"
"",""," Total","21188","22901","44089"
"","CHAMBO                        "," CHAMBO","5660","6225","11885"
"",""," Total","5660","6225","11885"
"","CHUNCHI                       "," CAPZOL","426","473","899"
"",""," CHUNCHI","3556","3849","7405"
"",""," COMPUD","423","455","878"
"",""," GONZOL","824","905","1729"
"",""," LLAGOS","833","942","1775"
"",""," Total","6062","6624","12686"
"","COLTA                         "," CAÑI","486","476","962"
"",""," COLUMBE","7776","8086","15862"
"",""," JUAN DE VELASCO (PANGOR)","1926","1992","3918"
"",""," SANTIAGO DE QUITO","2577","3091","5668"
"",""," VILLA LA UNION","8877","9684","18561"
"",""," Total","21642","23329","44971"
"","CUMANDA                       "," CUMANDA","6343","6579","12922"
"",""," Total","6343","6579","12922"
"","GUAMOTE                       "," CEBADAS","4019","4199","8218"
"",""," GUAMOTE","12098","12540","24638"
"",""," PALMIRA","6062","6235","12297"
"",""," Total","22179","22974","45153"
"","GUANO                         "," GUANANDO","183","158","341"
"",""," GUANO","7823","8694","16517"
"",""," ILAPO","810","852","1662"
"",""," LA PROVIDENCIA","267","286","553"
"",""," SAN ANDRES","6477","7004","13481"
"",""," SAN GERARDO DE PACAICAGUAN","1106","1333","2439"
"",""," SAN ISIDRO DE PATULU","2301","2443","4744"
"",""," SAN JOSE DEL CHAZO","495","542","1037"
"",""," SANTA FE DE GALAN","822","851","1673"
"",""," VALPARAISO","211","193","404"
"",""," Total","20495","22356","42851"
"","PALLATANGA                    "," PALLATANGA","5718","5826","11544"
"",""," Total","5718","5826","11544"
"","PENIPE                        "," BILBAO","102","94","196"
"",""," EL ALTAR","631","634","1265"
"",""," LA CANDELARIA","239","236","475"
"",""," MATUS","471","520","991"
"",""," PENIPE","1000","1089","2089"
"",""," PUELA","314","308","622"
"",""," SAN ANTONIO DE BAYUSHIG","517","584","1101"
"",""," Total","3274","3465","6739"
"","RIOBAMBA                      "," CACHA","1410","1750","3160"
"",""," CALPI","3012","3457","6469"
"",""," CUBIJIES","1148","1366","2514"
"",""," FLORES","2074","2472","4546"
"",""," LICAN","3853","4110","7963"
"",""," LICTO","3498","4309","7807"
"",""," PUNGALA","2837","3117","5954"
"",""," PUNIN","2710","3266","5976"
"",""," QUIMIAG","2518","2739","5257"
"",""," RIOBAMBA","74634","82089","156723"
"",""," SAN JUAN","3442","3928","7370"
"",""," SAN LUIS","5704","6298","12002"
"",""," Total","106840","118901","225741"
"","Total","","219401","239180","458581"
"El Oro","ARENILLAS                     "," ARENILLAS","11057","10269","21326"
"",""," CARCABON","391","345","736"
"",""," CHACRAS","818","720","1538"
"",""," PALMALES","1682","1562","3244"
"",""," Total","13948","12896","26844"
"","ATAHUALPA                     "," AYAPAMBA","721","666","1387"
"",""," CERRO AZUL","172","123","295"
"",""," CORDONCILLO","511","492","1003"
"",""," MILAGRO","248","224","472"
"",""," PACCHA","1157","1154","2311"
"",""," SAN JOSE","201","164","365"
"",""," Total","3010","2823","5833"
"","BALSAS                        "," BALSAS","2926","2704","5630"
"",""," BELLAMARIA","632","599","1231"
"",""," Total","3558","3303","6861"
